URL,Version,Status,OIDs,Name,Title,Description,Used
http://fhir.nmdp.org/CodeSystem/cmv-status,0.1.0,active,,NMDPCMVStatusCS,NMDP CMV Status Code System,"Text-based status codes for CMV IgG antibody presence in donor and CBU testing.","ValueSet/nmdp-cmv-status-vs"
http://fhir.nmdp.org/CodeSystem/donor-status,0.1.0,draft,,NMDPDonorStatusCS,NMDP Donor Status,"Status codes for NMDP registered donors. These codes represent the enterprise Registry Status maintained by NMDP, indicating a donor's availability for patient search, matching, and product request activities. Source: ODS DonorWithSampleResponse (v05). In FHIR Donor API payloads, donor status is conveyed as a valueString on the donor-status extension.","ValueSet/nmdp-donor-status-vs"
http://fhir.nmdp.org/CodeSystem/order-type,0.1.0,active,,NMDPOrderTypeCS,NMDP Order Type Code System,"Codes identifying the type of donor or CBU workup order in the NMDP system.","ValueSet/nmdp-order-type-vs"
http://fhir.nmdp.org/ig/donor-patient/CodeSystem/nmdp-center-type,0.1.0,draft,,NMDPCenterTypeCS,NMDP Center Type,"Types of centers in the NMDP network.","ValueSet/nmdp-center-type-vs"
http://loinc.org,3.0.1,active,"2.16.840.1.113883.6.1",LOINC,Logical Observation Identifiers, Names and Codes (LOINC),"LOINC provides a set of universal names and ID codes for identifying laboratory and clinical test results.1,2 LOINC facilitates the exchange and pooling of results, such as blood hemoglobin, serum potassium, or vital signs, for clinical care, outcomes management, and research. LOINC's universal identifiers (names and codes) can be used in the context of order and observation exchanges between information systems that use syntax standards such as HL73, CEN TC251, ISO TC215, ASTM4, and DICOM. Specifically, the identifier can be used as the coded value for an observation in any other standard that uses the observation/observation value paradigm, whether messages, documents, application programming interface (API), etc. For example, LOINC codes are used widely in the OBX segment Observation Identifier field (OBX-3) of an ORU HL7 (HL7 version 2.x or ASTM 1238-9410) message that may be sent between a Clinical Laboratory Information Management Systems (LIMS) and Electronic Health Record Systems (EHR).5, 6 In this way, LOINC codes provide universal identifiers that allow the exchange of clinical data between heterogeneous computing environments.","ValueSet/nmdp-abo-rh-type-vs,ValueSet/nmdp-hla-locus-loinc-vs"
http://terminology.nmdp.org/codesystem/hla-gene-name,0.1.0,active,,NMDPHLAGeneNameCS,NMDP HLA Gene Name Code System,"HGNC Gene IDs for HLA loci used in donor typing. Subset of HGNC relevant to NMDP operations.","ValueSet/nmdp-hla-gene-name-vs"
http://terminology.nmdp.org/codesystem/specimen-type,0.1.0,active,,NMDPSpecimenTypeCS,NMDP Specimen Type Code System,"Codes identifying the type of specimen collected from a donor for HLA typing or infectious disease marker testing.","ValueSet/nmdp-specimen-type-vs"
