URL,Version,Status,OIDs,Name,Title,Description,Uses,Used,Sources
http://fhir.nmdp.org/ig/donor-patient/ValueSet/nmdp-center-type-vs,0.1.0,draft,,NMDPCenterTypeVS,NMDP Center Type ValueSet,"All center types in the NMDP network.","StructureDefinition/nmdp-organization","Internal"
http://fhir.nmdp.org/ig/donor-patient/ValueSet/nmdp-donor-status-vs,0.1.0,draft,,NMDPDonorStatusVS,NMDP Donor Status ValueSet,"All registry status codes for NMDP registered donors. Maps to ODS enterprise donor status values (AV, TU, AC, DE).","StructureDefinition/donor-status","Internal"
http://fhir.nmdp.org/ig/donor-patient/ValueSet/nmdp-glstring-vs,0.1.0,active,,NMDPGLStringVS,GL String Code Value Set,"Genotype List String Codes from glstring.org. Codes represent HLA genotypes in GL String format (e.g., hla#3.25.0#HLA-A*01:01:01:01+HLA-A*01:02).","StructureDefinition/nmdp-hla-genotype","Other"
http://fhir.nmdp.org/ig/donor-patient/ValueSet/nmdp-hla-gene-name-vs,0.1.0,active,,NMDPHLAGeneNameVS,NMDP HLA Gene Name Value Set,"HLA gene names (HGNC IDs) for loci typed in NMDP donor operations.","StructureDefinition/nmdp-hla-genotype","Internal"
http://fhir.nmdp.org/ig/donor-patient/ValueSet/nmdp-order-type-vs,0.1.0,active,,NMDPOrderTypeVS,NMDP Order Type Value Set,"All codes from the NMDP Order Type code system.","StructureDefinition/nmdp-idm-order,StructureDefinition/nmdp-donor-order","Internal"
http://fhir.nmdp.org/ig/donor-patient/ValueSet/nmdp-specimen-type-vs,0.1.0,active,,NMDPSpecimenTypeVS,NMDP Specimen Type Value Set,"All specimen type codes for donor testing samples in the NMDP system.","StructureDefinition/nmdp-donor-specimen","Internal"
http://hl7.org/fhir/ValueSet/address-type,4.0.1,active,"2.16.840.1.113883.4.642.3.69",AddressType,AddressType,"The type of an address (physical / postal).","StructureDefinition/nmdp-donor-patient","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/address-use,4.0.1,active,"2.16.840.1.113883.4.642.3.67",AddressUse,AddressUse,"The use of an address.","StructureDefinition/nmdp-donor-patient","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/administrative-gender,4.0.1,active,"2.16.840.1.113883.4.642.3.1",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","StructureDefinition/nmdp-donor-patient,StructureDefinition/matchsync-donor-patient","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/body-site,4.0.1,draft,"2.16.840.1.113883.4.642.3.141",SNOMEDCTBodyStructures,SNOMED CT Body Structures,"This value set includes all codes from [SNOMED CT](http://snomed.info/sct) where concept is-a 442083009 (Anatomical or acquired body site (body structure)).","StructureDefinition/nmdp-hla-genotype,StructureDefinition/nmdp-idm-order,StructureDefinition/nmdp-donor-order,StructureDefinition/nmdp-donor-specimen","SCT"
http://hl7.org/fhir/ValueSet/contact-point-system,4.0.1,active,"2.16.840.1.113883.4.642.3.71",ContactPointSystem,ContactPointSystem,"Telecommunications form for contact point.","StructureDefinition/nmdp-donor-patient","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/contact-point-use,4.0.1,active,"2.16.840.1.113883.4.642.3.73",ContactPointUse,ContactPointUse,"Use of contact point.","StructureDefinition/nmdp-donor-patient","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/contactentity-type,4.0.1,draft,"2.16.840.1.113883.4.642.3.416",ContactEntityType,Contact entity type,"This example value set defines a set of codes that can be used to indicate the purpose for which you would contact a contact party.","StructureDefinition/nmdp-organization","THO"
http://hl7.org/fhir/ValueSet/data-absent-reason,4.0.1,active,"2.16.840.1.113883.4.642.3.5",DataAbsentReason,DataAbsentReason,"Used to specify why the normally expected content of the data element is missing.","StructureDefinition/nmdp-hla-genotype","THO"
http://hl7.org/fhir/ValueSet/identifier-type,4.0.1,active,"2.16.840.1.113883.4.642.3.45",Identifier Type Codes,IdentifierType,"A coded type for an identifier that can be used to determine which identifier to use for a specific purpose.","StructureDefinition/nmdp-donor-patient,StructureDefinition/nmdp-organization,StructureDefinition/nmdp-idm-order,StructureDefinition/nmdp-donor-order","THO (V2)"
http://hl7.org/fhir/ValueSet/identifier-use,4.0.1,active,"2.16.840.1.113883.4.642.3.57",IdentifierUse,IdentifierUse,"Identifies the purpose for this identifier, if known .","StructureDefinition/nmdp-donor-patient,StructureDefinition/nmdp-organization,StructureDefinition/nmdp-idm-order,StructureDefinition/nmdp-donor-order","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/languages,4.0.1,draft,"2.16.840.1.113883.4.642.3.20",CommonLanguages,Common Languages,"This value set includes common codes from BCP-47 (http://tools.ietf.org/html/bcp47)","StructureDefinition/nmdp-donor-patient,StructureDefinition/nmdp-hla-genotype,StructureDefinition/nmdp-organization,StructureDefinition/nmdp-idm-order,StructureDefinition/nmdp-donor-order,StructureDefinition/nmdp-donor-specimen,StructureDefinition/matchsync-donor-patient","hl7.terminology.r4"
http://hl7.org/fhir/ValueSet/link-type,4.0.1,active,"2.16.840.1.113883.4.642.3.423",LinkType,LinkType,"The type of link between this patient resource and another patient resource.","StructureDefinition/nmdp-donor-patient,StructureDefinition/matchsync-donor-patient","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/marital-status,4.0.1,active,"2.16.840.1.113883.4.642.3.29",Marital Status Codes,MaritalStatus,"This value set defines the set of codes that can be used to indicate the marital status of a person.","StructureDefinition/nmdp-donor-patient,StructureDefinition/matchsync-donor-patient","THO (V3)"
http://hl7.org/fhir/ValueSet/medication-as-needed-reason,4.0.1,draft,"2.16.840.1.113883.4.642.3.96",SNOMEDCTMedicationAsNeededReasonCodes,SNOMED CT Medication As Needed Reason Codes,"This value set includes all clinical findings from SNOMED CT - provided as an exemplar value set.","StructureDefinition/nmdp-idm-order,StructureDefinition/nmdp-donor-order","SCT"
http://hl7.org/fhir/ValueSet/name-use,4.0.1,active,"2.16.840.1.113883.4.642.3.65",NameUse,NameUse,"The use of a human name.","StructureDefinition/nmdp-donor-patient,StructureDefinition/matchsync-donor-patient","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/observation-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.403",ObservationCategoryCodes,Observation Category Codes,"Observation Category codes.","StructureDefinition/nmdp-hla-genotype","THO"
http://hl7.org/fhir/ValueSet/observation-codes,4.0.1,draft,"2.16.840.1.113883.4.642.3.396",LOINCCodes,LOINC Codes,"This value set includes all LOINC codes","StructureDefinition/nmdp-hla-genotype","LOINC"
http://hl7.org/fhir/ValueSet/observation-interpretation,4.0.1,active,"2.16.840.1.113883.4.642.3.399",ObservationInterpretationCodes,Observation Interpretation Codes,"A categorical assessment, providing a rough qualitative interpretation of the observation value,    such as “normal”/ “abnormal”,”low” / “high”, “better” / “worse”, “susceptible” / “resistant”, “expected”/ “not expected”.    The value set is intended to be for ANY use where coded representation of an interpretation is needed.             Notes:          This is being communicated in v2.x in OBX-8 (Observation Interpretation), in v3 in ObservationInterpretation (CWE) in R1 (Representative Realm) and in FHIR in    Observation.interpretation. Historically these values come from the laboratory domain, and these codes are extensively    used. The value set binding is extensible, so codes outside the value set that are needed for interpretation concepts    (i.e. particular meanings) that are not included in the value set can be used, and these new codes may also be added to    the value set and published in a future version.","StructureDefinition/nmdp-hla-genotype","THO (V3)"
